branch	branch_label	timestamp	row_kind	decision	issue_number	issue_url	pr_number	pr_url	map	map_delta_vs_previous	index_median	search_topics_median	eval_file	bench_file
original	original	20260313-142817	original	baseline					0.2080	0.0000	9.89	0.42	/Users/caiau/school/autoresearch/experiment_evaluations/original/trec_eval-20260313-142804.txt	/Users/caiau/school/autoresearch/experiment_benchmarks/original/benchmark-20260313-142817.txt
codex/search-bm25-rsj	search-bm25-rsj	20260313-151934	branch	accepted	1	https://github.com/carlaiau/ir-autoresearch/issues/1	2	https://github.com/carlaiau/ir-autoresearch/pull/2	0.2349	0.0269	9.75	0.24	/Users/caiau/school/autoresearch/experiment_evaluations/codex/search-bm25-rsj/trec_eval-20260313-151751.txt	/Users/caiau/school/autoresearch/experiment_benchmarks/codex/search-bm25-rsj/benchmark-20260313-151934.txt
codex/search-skip-metadata-fields	search-skip-metadata-fields	20260313-161808	branch	accepted	6	https://github.com/carlaiau/ir-autoresearch/issues/6	7	https://github.com/carlaiau/ir-autoresearch/pull/7	0.2350	0.0001	9.71	0.23	/Users/caiau/school/autoresearch/experiment_evaluations/codex/search-skip-metadata-fields/trec_eval-20260313-161808.txt	/Users/caiau/school/autoresearch/experiment_benchmarks/codex/search-skip-metadata-fields/benchmark-20260313-161808.txt
codex/search-headline-boost	search-headline-boost	20260313-170615	branch	accepted	10	https://github.com/carlaiau/ir-autoresearch/issues/10	11	https://github.com/carlaiau/ir-autoresearch/pull/11	0.2355	0.0005	8.99	0.19	/Users/caiau/school/autoresearch/experiment_evaluations/codex/search-headline-boost/trec_eval-20260313-170600.txt	/Users/caiau/school/autoresearch/experiment_benchmarks/codex/search-headline-boost/benchmark-20260313-170615.txt
codex/search-headline-length-decouple	search-headline-length-decouple	20260313-203929	branch	rejected	13	https://github.com/carlaiau/ir-autoresearch/issues/13			0.2353	-0.0002	9.00	0.20	/Users/caiau/school/autoresearch/experiment_evaluations/codex/search-headline-length-decouple/trec_eval-20260313-203916.txt	/Users/caiau/school/autoresearch/experiment_benchmarks/codex/search-headline-length-decouple/benchmark-20260313-203929.txt
