label	weight_bm25	weight_rm3	weight_dense	rrf_k	bm25_topk	rm3_topk	dense_topk	map	Rprec	P_10	bpref	recip_rank
b0.10-r0.40-d0.50	0.10	0.40	0.50	60	250	250	250	0.2650	0.3020	0.5160	0.3474	0.7559
b0.70-r0.05-d0.25	0.70	0.05	0.25	60	250	250	250	0.2650	0.2973	0.4540	0.3345	0.7354
b0.55-r0.30-d0.15	0.55	0.30	0.15	60	250	250	250	0.2649	0.2958	0.4500	0.3312	0.7364
b0.35-r0.55-d0.10	0.35	0.55	0.10	60	250	250	250	0.2649	0.2957	0.4560	0.3311	0.7269
b0.65-r0.15-d0.20	0.65	0.15	0.20	60	250	250	250	0.2645	0.2962	0.4440	0.3324	0.7279
b0.15-r0.35-d0.50	0.15	0.35	0.50	60	250	250	250	0.2644	0.3010	0.5160	0.3467	0.7555
b0.40-r0.50-d0.10	0.40	0.50	0.10	60	250	250	250	0.2642	0.2948	0.4500	0.3306	0.7169
b0.60-r0.25-d0.15	0.60	0.25	0.15	60	250	250	250	0.2641	0.2954	0.4500	0.3307	0.7375
b0.20-r0.30-d0.50	0.20	0.30	0.50	60	250	250	250	0.2636	0.3004	0.5140	0.3464	0.7483
b0.65-r0.20-d0.15	0.65	0.20	0.15	60	250	250	250	0.2635	0.2944	0.4440	0.3303	0.7371
b0.25-r0.25-d0.50	0.25	0.25	0.50	60	250	250	250	0.2634	0.3006	0.5140	0.3465	0.7588
b0.70-r0.10-d0.20	0.70	0.10	0.20	60	250	250	250	0.2633	0.2954	0.4460	0.3320	0.7280
b0.45-r0.45-d0.10	0.45	0.45	0.10	60	250	250	250	0.2633	0.2939	0.4460	0.3301	0.6992
b0.05-r0.90-d0.05	0.05	0.90	0.05	60	250	250	250	0.2629	0.3018	0.4460	0.3313	0.6800
b0.50-r0.40-d0.10	0.50	0.40	0.10	60	250	250	250	0.2628	0.2929	0.4460	0.3294	0.6993
